Timestamp,UTC,Callsign,Position
1531344164,2018-07-11T21:22:44Z,KNE434,"21.226284,39.191181"
1531344177,2018-07-11T21:22:57Z,KNE434,"21.23877,39.193775"
1531344186,2018-07-11T21:23:06Z,KNE434,"21.248304,39.195709"
1531344192,2018-07-11T21:23:12Z,KNE434,"21.254517,39.196972"
1531344201,2018-07-11T21:23:21Z,KNE434,"21.263153,39.198761"
1531344210,2018-07-11T21:23:30Z,KNE434,"21.272507,39.200619"
1531344217,2018-07-11T21:23:37Z,KNE434,"21.278236,39.201813"
1531344223,2018-07-11T21:23:43Z,KNE434,"21.284317,39.203014"
1531344232,2018-07-11T21:23:52Z,KNE434,"21.293087,39.204815"
1531344238,2018-07-11T21:23:58Z,KNE434,"21.299744,39.206135"
1531344245,2018-07-11T21:24:05Z,KNE434,"21.305935,39.207409"
1531344253,2018-07-11T21:24:13Z,KNE434,"21.314301,39.209106"
1531344259,2018-07-11T21:24:19Z,KNE434,"21.320435,39.210354"
1531344269,2018-07-11T21:24:29Z,KNE434,"21.329224,39.212204"
1531344278,2018-07-11T21:24:38Z,KNE434,"21.337555,39.213902"
1531344287,2018-07-11T21:24:47Z,KNE434,"21.346016,39.215649"
1531344293,2018-07-11T21:24:53Z,KNE434,"21.352203,39.216946"
1531344300,2018-07-11T21:25:00Z,KNE434,"21.3582,39.218143"
1531344306,2018-07-11T21:25:06Z,KNE434,"21.363985,39.219311"
1531344314,2018-07-11T21:25:14Z,KNE434,"21.372179,39.220989"
1531344320,2018-07-11T21:25:20Z,KNE434,"21.377975,39.222141"
1531344327,2018-07-11T21:25:27Z,KNE434,"21.38377,39.223278"
1531344334,2018-07-11T21:25:34Z,KNE434,"21.389511,39.224438"
1531344344,2018-07-11T21:25:44Z,KNE434,"21.40053,39.226635"
1531344354,2018-07-11T21:25:54Z,KNE434,"21.409561,39.228466"
1531344361,2018-07-11T21:26:01Z,KNE434,"21.415009,39.22958"
1531344375,2018-07-11T21:26:15Z,KNE434,"21.429337,39.232529"
1531344383,2018-07-11T21:26:23Z,KNE434,"21.435583,39.233807"
1531344391,2018-07-11T21:26:31Z,KNE434,"21.444288,39.235638"
1531344400,2018-07-11T21:26:40Z,KNE434,"21.45282,39.23737"
1531344410,2018-07-11T21:26:50Z,KNE434,"21.461699,39.239044"
1531344433,2018-07-11T21:27:13Z,KNE434,"21.483444,39.234474"
1531344440,2018-07-11T21:27:20Z,KNE434,"21.488886,39.232483"
1531344449,2018-07-11T21:27:29Z,KNE434,"21.496008,39.229839"
1531344455,2018-07-11T21:27:35Z,KNE434,"21.501297,39.227833"
1531344469,2018-07-11T21:27:49Z,KNE434,"21.510998,39.224091"
1531344483,2018-07-11T21:28:03Z,KNE434,"21.522812,39.219444"
1531344492,2018-07-11T21:28:12Z,KNE434,"21.529852,39.216663"
1531344502,2018-07-11T21:28:22Z,KNE434,"21.537003,39.213802"
1531344508,2018-07-11T21:28:28Z,KNE434,"21.541489,39.212051"
1531344514,2018-07-11T21:28:34Z,KNE434,"21.546051,39.210255"
1531344520,2018-07-11T21:28:40Z,KNE434,"21.550753,39.208424"
1531344526,2018-07-11T21:28:46Z,KNE434,"21.55513,39.206696"
1531344532,2018-07-11T21:28:52Z,KNE434,"21.559616,39.20496"
1531344538,2018-07-11T21:28:58Z,KNE434,"21.563787,39.203339"
1531344545,2018-07-11T21:29:05Z,KNE434,"21.567856,39.201717"
1531344553,2018-07-11T21:29:13Z,KNE434,"21.574076,39.199219"
1531344705,2018-07-11T21:31:45Z,KNE434,"21.666687,39.162716"
1531344714,2018-07-11T21:31:54Z,KNE434,"21.67116,39.160969"
1531344722,2018-07-11T21:32:02Z,KNE434,"21.674978,39.15947"
1531344734,2018-07-11T21:32:14Z,KNE434,"21.679121,39.157829"
1531344748,2018-07-11T21:32:28Z,KNE434,"21.680866,39.15699"
1531344755,2018-07-11T21:32:35Z,KNE434,"21.681332,39.15662"
1531344787,2018-07-11T21:33:07Z,KNE434,"21.682962,39.154652"
1531344796,2018-07-11T21:33:16Z,KNE434,"21.683218,39.154308"
1531344822,2018-07-11T21:33:42Z,KNE434,"21.683006,39.152378"
1531344833,2018-07-11T21:33:53Z,KNE434,"21.682648,39.151356"
1531344840,2018-07-11T21:34:00Z,KNE434,"21.682354,39.150517"
1531344848,2018-07-11T21:34:08Z,KNE434,"21.682045,39.149616"
1531344862,2018-07-11T21:34:22Z,KNE434,"21.681589,39.148304"
1531344875,2018-07-11T21:34:35Z,KNE434,"21.680992,39.146572"
1531344881,2018-07-11T21:34:41Z,KNE434,"21.680738,39.14584"
1531344887,2018-07-11T21:34:47Z,KNE434,"21.680529,39.145214"
1531344893,2018-07-11T21:34:53Z,KNE434,"21.680344,39.14468"
1531344900,2018-07-11T21:35:00Z,KNE434,"21.680191,39.144211"
1531344908,2018-07-11T21:35:08Z,KNE434,"21.679974,39.143612"
1531344915,2018-07-11T21:35:15Z,KNE434,"21.679848,39.143265"
1531344921,2018-07-11T21:35:21Z,KNE434,"21.679699,39.143024"
1531344929,2018-07-11T21:35:29Z,KNE434,"21.67923,39.142914"
1531344935,2018-07-11T21:35:35Z,KNE434,"21.678921,39.143024"
1531344941,2018-07-11T21:35:41Z,KNE434,"21.678635,39.14315"
1531344948,2018-07-11T21:35:48Z,KNE434,"21.678349,39.143265"
1531344954,2018-07-11T21:35:54Z,KNE434,"21.678062,39.143414"
1531344963,2018-07-11T21:36:03Z,KNE434,"21.677834,39.143864"
1531344969,2018-07-11T21:36:09Z,KNE434,"21.677742,39.14415"
1531344979,2018-07-11T21:36:19Z,KNE434,"21.677654,39.144413"
1531344989,2018-07-11T21:36:29Z,KNE434,"21.680052,39.143818"
1531511616,2018-07-13T19:53:36Z,KNE434,"18.244322,42.645168"
1531511818,2018-07-13T19:56:58Z,KNE434,"18.244537,42.645454"
1531511824,2018-07-13T19:57:04Z,KNE434,"18.244778,42.645653"
1531511858,2018-07-13T19:57:38Z,KNE434,"18.246059,42.645847"
1531511878,2018-07-13T19:57:58Z,KNE434,"18.246746,42.644978"
1531511895,2018-07-13T19:58:15Z,KNE434,"18.247196,42.644394"
1531511918,2018-07-13T19:58:38Z,KNE434,"18.247375,42.644169"
1531512001,2018-07-13T20:00:01Z,KNE434,"18.248116,42.643818"
1531512026,2018-07-13T20:00:26Z,KNE434,"18.248589,42.643764"
1531512044,2018-07-13T20:00:44Z,KNE434,"18.248838,42.643745"
1531512070,2018-07-13T20:01:10Z,KNE434,"18.249094,42.643757"
1531512102,2018-07-13T20:01:42Z,KNE434,"18.249332,42.643848"
1531512112,2018-07-13T20:01:52Z,KNE434,"18.249537,42.643982"
1531512124,2018-07-13T20:02:04Z,KNE434,"18.24984,42.644245"
1531512170,2018-07-13T20:02:50Z,KNE434,"18.249466,42.643932"
1531512228,2018-07-13T20:03:48Z,KNE434,"18.249504,42.644817"
1531512244,2018-07-13T20:04:04Z,KNE434,"18.24622,42.649063"
1531512251,2018-07-13T20:04:11Z,KNE434,"18.24329,42.652813"
1531512275,2018-07-13T20:04:35Z,KNE434,"18.231628,42.668053"
1531512297,2018-07-13T20:04:57Z,KNE434,"18.219707,42.681885"
1531512309,2018-07-13T20:05:09Z,KNE434,"18.20993,42.685169"
1531512331,2018-07-13T20:05:31Z,KNE434,"18.19322,42.676891"
1531512343,2018-07-13T20:05:43Z,KNE434,"18.188984,42.665554"
1531512367,2018-07-13T20:06:07Z,KNE434,"18.196335,42.646328"
1531512380,2018-07-13T20:06:20Z,KNE434,"18.208443,42.63789"
1531512393,2018-07-13T20:06:33Z,KNE434,"18.220779,42.63063"
1531512408,2018-07-13T20:06:48Z,KNE434,"18.236069,42.621559"
1531512421,2018-07-13T20:07:01Z,KNE434,"18.249968,42.61327"
1531512433,2018-07-13T20:07:13Z,KNE434,"18.26277,42.605431"
1531512446,2018-07-13T20:07:26Z,KNE434,"18.276077,42.597084"
1531512460,2018-07-13T20:07:40Z,KNE434,"18.291962,42.586048"
1531512467,2018-07-13T20:07:47Z,KNE434,"18.297821,42.579769"
1531512474,2018-07-13T20:07:54Z,KNE434,"18.302105,42.57407"
1531512482,2018-07-13T20:08:02Z,KNE434,"18.309647,42.563732"
1531512515,2018-07-13T20:08:35Z,KNE434,"18.33674,42.525681"
1531512547,2018-07-13T20:09:07Z,KNE434,"18.361176,42.491489"
1531512580,2018-07-13T20:09:40Z,KNE434,"18.389391,42.452271"
1531512615,2018-07-13T20:10:15Z,KNE434,"18.418762,42.411541"
1531512645,2018-07-13T20:10:45Z,KNE434,"18.444855,42.375103"
1531512706,2018-07-13T20:11:46Z,KNE434,"18.502234,42.295414"
1531512769,2018-07-13T20:12:49Z,KNE434,"18.565018,42.207706"
1531512829,2018-07-13T20:13:49Z,KNE434,"18.634872,42.110401"
1531512894,2018-07-13T20:14:54Z,KNE434,"18.708847,42.007011"
1531512959,2018-07-13T20:15:59Z,KNE434,"18.78569,41.899307"
1531513024,2018-07-13T20:17:04Z,KNE434,"18.864643,41.788296"
1531513088,2018-07-13T20:18:08Z,KNE434,"18.947571,41.67173"
1531513150,2018-07-13T20:19:10Z,KNE434,"19.028507,41.557583"
1531513211,2018-07-13T20:20:11Z,KNE434,"19.109787,41.442776"
1531513273,2018-07-13T20:21:13Z,KNE434,"19.189499,41.330074"
1531513336,2018-07-13T20:22:16Z,KNE434,"19.275513,41.208019"
1531513396,2018-07-13T20:23:16Z,KNE434,"19.353535,41.097458"
1531513408,2018-07-13T20:23:28Z,KNE434,"19.370665,41.073185"
1531513497,2018-07-13T20:24:57Z,KNE434,"19.484299,40.907692"
1531513561,2018-07-13T20:26:01Z,KNE434,"19.568419,40.784996"
